name,cnpj,cep,state,city,address,industry_sector,enterprise_type,user_id
ALVORADA ENERGIA S/A,04.946.784/0005-20,77839-400,TO,Araguaína,"AVENIDA FILADELFIA, S/N",Energia (Hidro),,90
ALVORADA MINERACAO COMERCIO E EXPORTACAO LTDA,07.540.465/0002-65,39810-000,MG,Caraí,"CORREGO DOS VEADOS FAZENDA BOA VISTA, S/N",mineração,a,58
AM DE SOUZA GOMES COMERCIO DE FERAMENTAS LTDA,03.182.704/0001-10,27910-060,RJ,Macaé,"RUA DOUTOR TELIO BARRETO, 413/SALA 01",Revenda,C,90
AM MANUTENCAO EM MAQUINAS ELETRICAS LTDA,12.263.460/0001-91,69060-100,AM,Manaus,"RUA ABELARDO BARBOSA, 327 D",Revenda,,56
AMAGGI - Lucas do Rio Verde,77.294.254/0055-87,78455-000,MT,Lucas do Rio Verde,"RODOVIA MT 449, KM 4,6, S/N",ALIMENTOS e BEBIDAS,A+,75
AMAGGI - Porto Velho,77.294.254/0061-25,76800-000,RO,Porto Velho,"LOTE 01, PF AM, PORTOCHUELO, S/N",Alimentos e Bebidas,,90
AMAGGI - Itacoatiara,77.294.254/0021-38,69100-000,AM,Itacoatiara,"ESTRADA DAS INDUSTRIAS, KM 7,5, S/N",Alimentos e Bebidas,A+,56
AMAGGI - Querência,77.294.254/0053-15,78643-000,MT,Querência,"RODOVIA MT-109, S/N/KM 4,3",ALIMENTOS e BEBIDAS,,75
AMBCORE SERVICOS AMBIENTAIS EIRELI,14.595.750/0001-68,94010-031,RS,Gravataí,"RUA CORONEL SARMENTO, 1167",O&M,C,71
AMBEV - Estância,07.526.557/0012-62,49200-000,SE,Estância,,Alimentos e Bebidas,B,88
AMBEV - São Luiz,,,MA,São Luís,,Alimentos e Bebidas,B,54
AMBEV - Sede SP,,,SP,,,Alimentos e Bebidas,a+,50
AMBEV - Anápolis,07.526.557/0010-09,75045-190,GO,Anápolis,"RODOVIA  BR 060, S/N/KMS 110 E 114",Alimentos e Bebidas,B,65
AMBEV - Juatuba,07.526.557/0050-98,35675-000,MG,Juatuba,,Alimentos e Bebidas,B,61
AMBEV - Agudos,07.526.557/0052-50,17120-000,SP,Agudos,"RODOVIA MARECHAL RONDON, S/N/KM 317",Alimentos e Bebidas,A,51
AMBEV - Itapissuma,07.526.557/0021-53,53700-000,PE,Itapissuma,"RODOVIA BR-101 NORTE, S/N/KM 34",Alimentos e Bebidas,B,46
AMBEV - Viamão,07.526.557/0040-16,94760-000,RS,Viamão,"EST DO CARTORIO, 4701",Alimentos e Bebidas,B,71
AMBEV - Camaçari,07.526.557/0015-05,42810-030,BA,Camaçari,"RUA JOAO URSULO, 1620",Alimentos e Bebidas,B,70
AMBEV - Camaçari,07.526.557/0015-05,42810-030,BA,Camaçari,"RUA JOAO URSULO, 1620",Alimentos e Bebidas,B,70
AMBEV - Jacareí,07.526.557/0006-14,12315-310,SP,Jacareí,"ESTRADA MUNICIPAL BIAGINO CHIEFFI, 10000",Alimentos e Bebidas,A,50
AMBEV - João Pessoa,07.526.557/0013-43,58082-005,PB,João Pessoa,"RUA DOUTOR WALTER BELLIAN, 2230",Alimentos e Bebidas,,55
AMBEV - Piraí,07.526.557/0063-02,27175-000,RJ,Piraí,"ROD PRESIDENTE DUTRA, BR 116, S/N/KM 237",Alimentos e Bebidas,A,39
AMBEV - Porto Alegre,07.526.557/0037-10,90230-011,RS,Porto Alegre,"RUA VOLUNTARIOS DA PATRIA, 2619",Alimentos e Bebidas,A,71
AMG MINERACAO S/A,11.224.676/0001-85,36370-000,MG,Nazareno,,mineração,B,61
ANDERSON OLIVEIRA SANTOS ME,13.816.036/0001-90,40445-200,BA,Salvador,"AV FERNANDES DA CUNHA, 3",Revenda,B,70
ANDRITZ - Barueri,02.216.876/0001-03,06455-010,SP,Barueri,"AVENIDA JURUA, 747",O&M,A,42
ANDRITZ - Araraquara,02.216.876/0002-86,14806-500,SP,Araraquara,"RODOVIA MANOEL DE ABREU, S/N",O&M,A,51
ANDRITZ- Pomerode,06.349.916/0001-38,89107-000,SC,Pomerode,"RUA PROGRESSO, 450",O&M,A,57
